round,tick,weapon_name,is_headshot,penetration_amount,has_replay,is_flash_assist,is_through_smoke,is_attacker_blind,is_noscope,second,player_id_fixed,attacker_id_fixed,assister_id_fixed,player_x_pos,player_y_pos,player_z_pos,player_x_vel,player_y_vel,player_z_vel,player_phi_ang,player_theta_ang,player_weapon_code,player_team_code,attacker_x_pos,attacker_y_pos,attacker_z_pos,attacker_x_vel,attacker_y_vel,attacker_z_vel,attacker_phi_ang,attacker_theta_ang,attacker_weapon_code,attacker_team_code,assister_x_pos,assister_y_pos,assister_z_pos,assister_x_vel,assister_y_vel,assister_z_vel,assister_phi_ang,assister_theta_ang,assister_weapon_code,assister_team_code
8,45646,ak47,False,1,False,0,0,0,0,713.21875,5,6,8,-2023.85546875,1251.177734375,32.69154739379883,-3.4296875,-16.9453125,0.44482421875,101.47006225585938,-11.434707641601562,7,3,-1404.1724853515625,1179.5799560546875,34.52206039428711,-6.953125,-45.4140625,-0.507568359375,91.517822265625,171.92642211914062,7,2,-1247.3916015625,1065.3865966796875,31.740325927734375,2.84375,10.0859375,-1.376220703125,99.45991516113281,164.24801635742188,7,2
8,46089,ak47,True,0,False,0,0,0,0,720.140625,1,8,,-1476.1597900390625,-423.1187744140625,130.72506713867188,61.0703125,7.65234375,-0.90234375,94.50198364257812,97.1318359375,19,3,-1670.8472900390625,1178.3709716796875,31.255489349365234,0.0,0.0,0.0,86.72744750976562,-83.19465637207031,7,2,,,,,,,,,,
9,48799,ak47,True,0,False,0,0,0,0,762.484375,5,8,,559.7584838867188,150.64968872070312,-2.967041015625,-221.5078125,-28.1689453125,-9.28125,91.88346862792969,140.70806884765625,60,3,179.9741668701172,457.73126220703125,1.6602201461791992,0.0,0.0,0.0,90.13766479492188,-37.05757141113281,7,2,,,,,,,,,,
9,49575,ak47,True,0,False,0,0,0,0,774.609375,3,8,,-301.5325927734375,579.365234375,-1.4644775390625,-91.4765625,-126.03125,-20.55078125,90.0,-36.23634338378906,3,3,746.4509887695312,-188.3834228515625,9.031248092651367,-21.86328125,-29.125,0.0,90.71514892578125,142.87478637695312,7,2,,,,,,,,,,
9,50347,mp7,True,0,False,0,0,0,0,786.671875,2,1,,-1760.44970703125,1386.9462890625,43.817867279052734,-0.2265625,0.4375,0.021484375,99.34353637695312,-170.60086059570312,7,2,-1979.0126953125,1339.2412109375,28.435731887817383,9.4375,-44.8515625,1.6500244140625,91.28643798828125,13.6268310546875,33,3,,,,,,,,,,
9,50512,ssg08,True,0,False,0,0,0,0,789.25,9,7,,-149.0628662109375,824.9443969726562,1.9554061889648438,0.0,201.41796875,-1.830413818359375,95.2294921875,106.93405151367188,7,2,-580.4677734375,2222.833740234375,-121.78515625,0.0,0.0,0.0,85.17974853515625,-73.05702209472656,40,3,,,,,,,,,,
9,50692,ak47,True,0,False,0,0,0,0,792.0625,7,6,,-334.661865234375,2233.806884765625,-122.5,-16.0,5.6875,1.3203125,93.8616943359375,-105.9902572631836,40,3,-444.255859375,1668.546875,-125.1396484375,15.84375,-2.8046875,-0.171875,91.60606384277344,79.4898681640625,7,2,,,,,,,,,,
9,51864,ak47,False,0,False,0,0,0,0,810.375,10,8,6,-204.42364501953125,2143.14501953125,-126.422119140625,-82.86328125,8.4375,0.0234375,90.86138916015625,-107.88299560546875,40,3,661.1231079101562,2214.349609375,-81.9249267578125,0.0,0.0,0.0,100.2025146484375,-176.15237426757812,7,2,-359.724365234375,1756.5299072265625,-123.74578857421875,-35.8515625,185.7734375,0.4375,100.36216735839844,88.00357055664062,7,2
9,51867,ak47,False,0,False,0,0,0,0,810.421875,6,1,7,-360.634033203125,1762.466064453125,-123.77099609375,-25.9140625,190.78125,-3.8984375,100.58189392089844,88.267578125,7,2,-689.7318115234375,2352.951904296875,-109.02801513671875,0.0,0.0,0.0,92.71328735351562,-61.76136016845703,7,3,,,,,,,,,,
9,52024,ak47,False,0,False,0,0,0,0,812.875,1,8,2,-798.773681640625,2226.6669921875,-106.62823486328125,9.4921875,93.734375,10.42578125,93.43666076660156,-5.7276611328125,7,3,378.1629638671875,2093.108642578125,-125.22552490234375,-17.490234375,28.875,0.0234375,90.96267700195312,173.31515502929688,7,2,,,,,,,,,,
10,53820,ssg08,True,0,False,0,0,0,0,840.9375,9,7,,-421.0623779296875,-323.3031005859375,0.5631957054138184,-25.16796875,228.6171875,0.49169921875,92.75723266601562,89.3974609375,1,2,-415.739013671875,2113.900390625,-128.42767333984375,0.0,0.0,0.0,87.05635070800781,-90.23998260498047,40,3,,,,,,,,,,
10,54766,ak47,False,0,False,0,0,0,0,855.71875,7,2,4,-1697.9576416015625,502.61822509765625,34.0625,156.7578125,-107.169921875,-173.0,111.14593505859375,-83.08822631835938,40,3,-1899.1131591796875,679.9367065429688,36.735679626464844,0.0,0.0,0.0,94.5115966796875,-41.17779541015625,7,2,-1403.9259033203125,370.4143371582031,9.03125,-42.046875,-114.66796875,0.0,91.55181884765625,156.11813354492188,13,2
10,56850,mp9,True,0,False,0,0,0,0,888.28125,8,5,,-386.373046875,1260.8583984375,-118.86962890625,12.78125,4.25,-0.921875,100.43255615234375,109.02728271484375,7,2,-453.9117431640625,1469.816650390625,-126.06219482421875,-20.2421875,-5.9453125,0.31640625,95.44921875,-73.54694366455078,34,3,,,,,,,,,,
10,56937,ak47,False,0,False,0,0,0,0,889.640625,5,6,8,-535.34326171875,1448.972412109375,-112.14276123046875,-64.8359375,-15.84375,-1.53515625,90.9080810546875,-75.2288818359375,34,3,-303.8209228515625,461.908203125,-3.42218017578125,-72.828125,-6.1953125,-2.1328125,97.47998046875,102.03759765625,7,2,,,,,,,,,,
